 ; Genus ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; ; Innovus ; ; ; ; Genus ; ; ; ; Innovus ; ; ; ;
Design ; Slack (ps) ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ; Cell Count ; Cell Area ; Total Area ; Cell Count ; Cell Area ; Total Cell Count ; Total Area ; Power Unit ; Power Mult ; Total Power; Total Power(uW); Power Unit ; Power Mult ; Total Power ; Total Power(uW)
CLA ;0 ; 1954 ; 1953.000 ; 511.77072671443193000000 ; 512.03277009728622631000 ; 462 ; 2956.586 ; 5384.939 ; 406 ; 2880.262 ; 791 ; 4230.307 ; W ; 0 ; 3.81186e-04 ; 381,18599999999997862687 ; 1mW ; -3 ; 0.34963934 ; 349.63934000000000000000
RCA ;0 ; 4350 ; 4335.000 ; 229.88505747126436000000 ; 230.68050749711649365000 ; 301 ; 1806.733 ; 3319.994 ; 210 ; 1502.691 ; 436 ; 2589.984 ; W ; 0 ; 3.35708e-04 ; 335,70799999999996998667 ; 1mW ; -3 ; 0.28270186 ; 282.70186000000000000000
Kogge-Stone ;0 ; 2092 ; 2092.000 ; 478.01147227533460000000 ; 478.01147227533460803000 ; 442 ; 3131.754 ; 5707.169 ; 399 ; 3280.646 ; 812 ; 4474.291 ; W ; 0 ; 3.97536e-04 ; 397,53600000000000136424 ; 1mW ; -3 ; 0.42347954 ; 423.47954000000000000000
Brent-Kung ;0 ; 2115 ; 2114.000 ; 472.81323877068557000000 ; 473.03689687795648060000 ; 361 ; 2469.869 ; 4477.746 ; 321 ; 2453.603 ; 684 ; 3547.152 ; W ; 0 ; 3.44062e-04 ; 344,06200000000001182343 ; 1mW ; -3 ; 0.31844749 ; 318.44749000000000000000
Sklansky ;0 ; 1973 ; 1972.000 ; 506.84237202230106000000 ; 507.09939148073022312000 ; 387 ; 2812.698 ; 5022.894 ; 360 ; 2852.736 ; 771 ; 4028.864 ; W ; 0 ; 3.71268e-04 ; 371,26800000000002910383 ; 1mW ; -3 ; 0.35316595 ; 353.16595000000000000000
Ladner-Fischer ;0 ; 1944 ; 1944.000 ; 514.40329218106995000000 ; 514.40329218106995884000 ; 408 ; 2841.475 ; 5084.913 ; 366 ; 2786.422 ; 715 ; 4086.419 ; W ; 0 ; 3.69314e-04 ; 369,31399999999996452971 ; 1mW ; -3 ; 0.33788308 ; 337.88308000000000000000
Han-Carlson ;1 ; 2130 ; 2130.000 ; 469.48356807511737000000 ; 469.48356807511737089000 ; 405 ; 2763.901 ; 5036.838 ; 371 ; 2797.683 ; 786 ; 3971.309 ; W ; 0 ; 3.50855e-04 ; 350,85500000000001818989 ; 1mW ; -3 ; 0.34695066 ; 346.95066000000000000000
Signal ;0 ; 1390 ; 1390.000 ; 719.42446043165467000000 ; 719.42446043165467625000 ; 484 ; 2747.635 ; 5267.185 ; 460 ; 2802.688 ; 794 ; 3942.531 ; W ; 0 ; 4.15290e-04 ; 415,29000000000002046363 ; 1mW ; -3 ; 0.39383424 ; 393.83424000000000000000
CSkA8 ;0 ; 4755 ; 4753.000 ; 210.30494216614090000000 ; 210.39343572480538607000 ; 376 ; 2333.488 ; 4217.015 ; 269 ; 1944.365 ; 659 ; 3336.950 ; W ; 0 ; 3.75482e-04 ; 375,48200000000002773959 ; 1mW ; -3 ; 0.30653452 ; 306.53452000000000000000
CIA ;0 ; 1848 ; 1848.000 ; 541.12554112554112000000 ; 541.12554112554112554000 ; 482 ; 3204.323 ; 5714.649 ; 385 ; 2992.870 ; 857 ; 4594.406 ; W ; 0 ; 4.74707e-04 ; 474,70699999999999363354 ; 1mW ; -3 ; 0.43702115 ; 437.02115000000000000000
CSkA4 ;1 ; 5013 ; 5014.000 ; 199.48134849391581000000 ; 199.44156362185879537000 ; 379 ; 2337.242 ; 4234.257 ; 279 ; 1983.152 ; 653 ; 3363.226 ; W ; 0 ; 3.91874e-04 ; 391,87400000000002364686 ; 1mW ; -3 ; 0.32019284 ; 320.19284000000000000000
CSLA8888 ;0 ; 2099 ; 2096.000 ; 476.41734159123392000000 ; 477.09923664122137404000 ; 450 ; 3094.218 ; 5425.197 ; 386 ; 2932.813 ; 819 ; 4444.262 ; W ; 0 ; 5.50782e-04 ; 550,78200000000003910827 ; 1mW ; -3 ; 0.50957416 ; 509.57416000000000000000
CSLA56678 ;0 ; 1872 ; 1872.000 ; 534.18803418803418000000 ; 534.18803418803418803000 ; 547 ; 3345.709 ; 6041.907 ; 424 ; 2910.291 ; 951 ; 4785.840 ; W ; 0 ; 5.79798e-04 ; 579,79800000000000181899 ; 1mW ; -3 ; 0.50027948 ; 500.27948000000000000000
CSLA66668 ;0 ; 1959 ; 1956.000 ; 510.46452271567126000000 ; 511.24744376278118609000 ; 434 ; 2979.107 ; 5249.347 ; 357 ; 2803.939 ; 768 ; 4259.085 ; W ; 0 ; 5.08060e-04 ; 508,05999999999994543032 ; 1mW ; -3 ; 0.45682476 ; 456.82476000000000000000
