Design ; Data Path (ps) ;  Freq (MHz) ;  Cell Area ; Total Area ; Total Power(uW)
CLA ;3628 ; 275.63395810363836000000 ; 1702.883 ; 3168.632 ; 274,64999999999997726263
RCA ;4350 ; 229.88505747126436000000 ; 1806.733 ; 3319.994 ; 335,70799999999996998667
Kogge-Stone ;2425 ; 412.37113402061855000000 ; 2776.413 ; 5158.472 ; 365,36099999999998999556
Brent-Kung ;3049 ; 327.97638570022958000000 ; 1785.462 ; 3321.697 ; 282,04099999999999681677
Sklansky ;2830 ; 353.35689045936395000000 ; 2102.016 ; 3908.444 ; 309,05700000000001637090
Ladner-Fischer ;2732 ; 366.03221083455344000000 ; 1868.042 ; 3474.761 ; 288,34500000000002728484
Han-Carlson ;2564 ; 390.01560062402496000000 ; 2102.016 ; 3908.444 ; 307,14300000000002910383
Signal ;4344 ; 230.20257826887661000000 ; 1187.389 ; 2424.887 ; 264,58599999999995588951
CSkA8 ;4420 ; 226.24434389140271000000 ; 3110.483 ; 5040.914 ; 467,98899999999997589839
CIA ;4350 ; 229.88505747126436000000 ; 1247.446 ; 2150.269 ; 232,23099999999999454303
CSkA4 ;4745 ; 210.74815595363540000000 ; 3345.709 ; 5384.652 ; 518,95000000000004547474
CSLA8888 ;4349 ; 229.93791676247413000000 ; 1570.256 ; 2509.627 ; 305,75200000000000954969
CSLA56678 ;4338 ; 230.52097740894421000000 ; 1577.763 ; 2488.418 ; 314,36000000000001364242
CSLA66668 ;4348 ; 229.99080036798528000000 ; 1556.493 ; 2524.058 ; 316,56799999999998362910
