Design ; Data Path (ps) ;  Freq (MHz) ;  Cell Area ; Total Area ;  Total Power(uW)
Signal ;10033.000 ; 99.67108541812020332000 ; 823.290 ; 1186.138 ; 213.87214000000000000000
Signal ;13509.000 ; 74.02472425790213931000 ; 643.117 ; 922.134 ; 191.95019000000000000000
Signal ;10033.000 ; 99.67108541812020332000 ; 823.290 ; 1186.138 ; 213.87214000000000000000
Signal ;10033.000 ; 99.67108541812020332000 ; 823.290 ; 1186.138 ; 213.87214000000000000000
Signal ;10033.000 ; 99.67108541812020332000 ; 823.290 ; 1186.138 ; 213.87214000000000000000
Signal ;10033.000 ; 99.67108541812020332000 ; 823.290 ; 1186.138 ; 213.87214000000000000000
Signal ;10033.000 ; 99.67108541812020332000 ; 823.290 ; 1186.138 ; 213.87214000000000000000
Signal ;12980.000 ; 77.04160246533127889000 ; 698.170 ; 990.950 ; 197.77149000000000000000
Signal ;9352.000 ; 106.92899914456800684000 ; 875.840 ; 1252.451 ; 218.39721000000000000000
Signal ;12760.000 ; 78.36990595611285266000 ; 686.909 ; 977.187 ; 196.51819000000000000000
Signal ;9352.000 ; 106.92899914456800684000 ; 875.840 ; 1252.451 ; 218.39721000000000000000
Signal ;12547.000 ; 79.70032677133976249000 ; 710.682 ; 1018.477 ; 198.78033000000000000000
Signal ;12471.000 ; 80.18603159329644775000 ; 725.696 ; 1046.003 ; 198.21976000000000000000
Signal ;12366.000 ; 80.86689309396732977000 ; 731.952 ; 1032.240 ; 200.83647000000000000000
Signal ;12288.000 ; 81.38020833333333333000 ; 734.454 ; 1046.003 ; 201.32972000000000000000
Signal ;12189.000 ; 82.04118467470670276000 ; 743.213 ; 1046.003 ; 201.13176000000000000000
Signal ;12089.000 ; 82.71982794275787906000 ; 764.483 ; 1081.037 ; 203.25290000000000000000
Signal ;11977.000 ; 83.49336227769892293000 ; 750.720 ; 1081.037 ; 200.57626000000000000000
Signal ;11857.000 ; 84.33836552247617441000 ; 741.962 ; 1059.766 ; 200.69912000000000000000
Signal ;11766.000 ; 84.99065102838687744000 ; 774.493 ; 1126.080 ; 205.29268000000000000000
Signal ;11681.000 ; 85.60910880917729646000 ; 776.995 ; 1126.080 ; 203.39877000000000000000
Signal ;11518.000 ; 86.82062858135092898000 ; 764.483 ; 1096.051 ; 202.47004000000000000000
Signal ;11491.000 ; 87.02462796971542946000 ; 795.763 ; 1141.094 ; 205.46963000000000000000
Signal ;11341.000 ; 88.17564588660611938000 ; 799.517 ; 1171.123 ; 207.07880000000000000000
Signal ;11249.000 ; 88.89679082585118677000 ; 799.517 ; 1171.123 ; 206.27057000000000000000
Signal ;9125.000 ; 109.58904109589041095000 ; 880.845 ; 1268.717 ; 218.96933000000000000000
Signal ;9125.000 ; 109.58904109589041095000 ; 880.845 ; 1268.717 ; 218.96933000000000000000
Signal ;9125.000 ; 109.58904109589041095000 ; 880.845 ; 1268.717 ; 218.96933000000000000000
Signal ;9125.000 ; 109.58904109589041095000 ; 880.845 ; 1268.717 ; 218.96933000000000000000
Signal ;9125.000 ; 109.58904109589041095000 ; 880.845 ; 1268.717 ; 218.96933000000000000000
Signal ;9125.000 ; 109.58904109589041095000 ; 880.845 ; 1268.717 ; 218.96933000000000000000
Signal ;9125.000 ; 109.58904109589041095000 ; 880.845 ; 1268.717 ; 218.96933000000000000000
Signal ;9125.000 ; 109.58904109589041095000 ; 880.845 ; 1268.717 ; 218.96933000000000000000
Signal ;9125.000 ; 109.58904109589041095000 ; 880.845 ; 1268.717 ; 218.96933000000000000000
Signal ;9245.000 ; 108.16657652785289345000 ; 883.347 ; 1268.717 ; 218.73102000000000000000
Signal ;9245.000 ; 108.16657652785289345000 ; 883.347 ; 1268.717 ; 218.73102000000000000000
Signal ;9245.000 ; 108.16657652785289345000 ; 883.347 ; 1268.717 ; 218.73102000000000000000
Signal ;9245.000 ; 108.16657652785289345000 ; 883.347 ; 1268.717 ; 218.73102000000000000000
Signal ;9245.000 ; 108.16657652785289345000 ; 883.347 ; 1268.717 ; 218.73102000000000000000
Signal ;9245.000 ; 108.16657652785289345000 ; 883.347 ; 1268.717 ; 218.73102000000000000000
Signal ;9245.000 ; 108.16657652785289345000 ; 883.347 ; 1268.717 ; 218.73102000000000000000
Signal ;9235.000 ; 108.28370330265295073000 ; 883.347 ; 1268.717 ; 214.56614000000000000000
Signal ;9234.000 ; 108.29542993285683344000 ; 883.347 ; 1268.717 ; 214.27133000000000000000
Signal ;9283.000 ; 107.72379618657761499000 ; 884.598 ; 1268.717 ; 215.43615000000000000000
Signal ;9210.000 ; 108.57763300760043431000 ; 880.845 ; 1268.717 ; 219.70014000000000000000
Signal ;9197.000 ; 108.73110796999021420000 ; 880.845 ; 1268.717 ; 219.49923000000000000000
Signal ;9052.000 ; 110.47282368537339814000 ; 888.352 ; 1268.717 ; 221.04503000000000000000
Signal ;6063.000 ; 164.93485073396008576000 ; 1086.042 ; 1558.995 ; 236.14824000000000000000
Signal ;8895.000 ; 112.42270938729623383000 ; 888.352 ; 1284.982 ; 218.63153000000000000000
Signal ;8716.000 ; 114.73152822395594309000 ; 888.352 ; 1301.248 ; 217.98265000000000000000
Signal ;8633.000 ; 115.83458820803892042000 ; 902.115 ; 1301.248 ; 221.36528000000000000000
Signal ;6095.000 ; 164.06890894175553732000 ; 1093.549 ; 1576.512 ; 238.90749000000000000000
Signal ;6306.000 ; 158.57913098636219473000 ; 1083.539 ; 1558.995 ; 238.07573000000000000000
Signal ;6306.000 ; 158.57913098636219473000 ; 1083.539 ; 1558.995 ; 238.07573000000000000000
Signal ;6346.000 ; 157.57957768673179955000 ; 1106.061 ; 1594.029 ; 238.85496000000000000000
Signal ;6008.000 ; 166.44474034620505992000 ; 1106.061 ; 1594.029 ; 239.27663000000000000000
Signal ;6008.000 ; 166.44474034620505992000 ; 1106.061 ; 1594.029 ; 239.27663000000000000000
