 ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; Innovus ; ; Genus ; Innovus 
Design ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ;  Cell Area ; Total Area ; Cell Area ; Total Area ; Total Power(uW); Total Power(uW)
Signal ;10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 823.290 ; 1566.345 ; 823.290 ; 1186.138 ; 227,43399999999999749889 ; 213.87214000000000000000
Signal ;13497 ; 13509.000 ; 74.09053863821589000000 ; 74.02472425790213931000 ; 640.614 ; 1078.407 ; 643.117 ; 922.134 ; 203,67500000000001136868 ; 191.95019000000000000000
Signal ;10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 823.290 ; 1566.345 ; 823.290 ; 1186.138 ; 227,43399999999999749889 ; 213.87214000000000000000
Signal ;10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 823.290 ; 1566.345 ; 823.290 ; 1186.138 ; 227,43399999999999749889 ; 213.87214000000000000000
Signal ;10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 823.290 ; 1566.345 ; 823.290 ; 1186.138 ; 227,43399999999999749889 ; 213.87214000000000000000
Signal ;10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 823.290 ; 1566.345 ; 823.290 ; 1186.138 ; 227,43399999999999749889 ; 213.87214000000000000000
Signal ;10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 823.290 ; 1566.345 ; 823.290 ; 1186.138 ; 227,43399999999999749889 ; 213.87214000000000000000
Signal ;12958 ; 12980.000 ; 77.17240314863404000000 ; 77.04160246533127889000 ; 690.662 ; 1150.384 ; 698.170 ; 990.950 ; 207,36899999999999977263 ; 197.77149000000000000000
Signal ;9219 ; 9352.000 ; 108.47163466753443000000 ; 106.92899914456800684000 ; 875.840 ; 1704.435 ; 875.840 ; 1252.451 ; 231,61299999999999954525 ; 218.39721000000000000000
Signal ;12794 ; 12760.000 ; 78.16163826793809000000 ; 78.36990595611285266000 ; 681.904 ; 1168.340 ; 686.909 ; 977.187 ; 208,08199999999999363354 ; 196.51819000000000000000
Signal ;9219 ; 9352.000 ; 108.47163466753443000000 ; 106.92899914456800684000 ; 875.840 ; 1704.435 ; 875.840 ; 1252.451 ; 231,61299999999999954525 ; 218.39721000000000000000
Signal ;12577 ; 12547.000 ; 79.51021706289258000000 ; 79.70032677133976249000 ; 708.179 ; 1179.561 ; 710.682 ; 1018.477 ; 210,59099999999997976374 ; 198.78033000000000000000
Signal ;12494 ; 12471.000 ; 80.03841844085160000000 ; 80.18603159329644775000 ; 728.198 ; 1228.297 ; 725.696 ; 1046.003 ; 210,78700000000000613909 ; 198.21976000000000000000
Signal ;12364 ; 12366.000 ; 80.87997411840828000000 ; 80.86689309396732977000 ; 713.184 ; 1228.250 ; 731.952 ; 1032.240 ; 211,04300000000000636646 ; 200.83647000000000000000
Signal ;12288 ; 12288.000 ; 81.38020833333333000000 ; 81.38020833333333333000 ; 729.450 ; 1234.421 ; 734.454 ; 1046.003 ; 212,45599999999998885869 ; 201.32972000000000000000
Signal ;12191 ; 12189.000 ; 82.02772537117545000000 ; 82.04118467470670276000 ; 730.701 ; 1257.514 ; 743.213 ; 1046.003 ; 212,44900000000001227818 ; 201.13176000000000000000
Signal ;12096 ; 12089.000 ; 82.67195767195767000000 ; 82.71982794275787906000 ; 750.720 ; 1284.408 ; 764.483 ; 1081.037 ; 213,14399999999997703526 ; 203.25290000000000000000
Signal ;11994 ; 11977.000 ; 83.37502084375521000000 ; 83.49336227769892293000 ; 753.222 ; 1305.358 ; 750.720 ; 1081.037 ; 213,57200000000000272848 ; 200.57626000000000000000
Signal ;11884 ; 11857.000 ; 84.14675193537529000000 ; 84.33836552247617441000 ; 739.459 ; 1316.657 ; 741.962 ; 1059.766 ; 214,48499999999998522071 ; 200.69912000000000000000
Signal ;11798 ; 11766.000 ; 84.76012883539582000000 ; 84.99065102838687744000 ; 784.502 ; 1343.252 ; 774.493 ; 1126.080 ; 219,11700000000001864464 ; 205.29268000000000000000
Signal ;11695 ; 11681.000 ; 85.50662676357417000000 ; 85.60910880917729646000 ; 779.498 ; 1360.176 ; 776.995 ; 1126.080 ; 216,27600000000001045919 ; 203.39877000000000000000
Signal ;11596 ; 11518.000 ; 86.23663332183511000000 ; 86.82062858135092898000 ; 761.981 ; 1357.713 ; 764.483 ; 1096.051 ; 216,05800000000002114575 ; 202.47004000000000000000
Signal ;11494 ; 11491.000 ; 87.00191404210892000000 ; 87.02462796971542946000 ; 798.266 ; 1378.944 ; 795.763 ; 1141.094 ; 218,78899999999998726707 ; 205.46963000000000000000
Signal ;11399 ; 11341.000 ; 87.72699359592946000000 ; 88.17564588660611938000 ; 809.526 ; 1415.353 ; 799.517 ; 1171.123 ; 221,50700000000000500222 ; 207.07880000000000000000
Signal ;11299 ; 11249.000 ; 88.50340738118417000000 ; 88.89679082585118677000 ; 817.034 ; 1412.766 ; 799.517 ; 1171.123 ; 220,98099999999999454303 ; 206.27057000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9217 ; 9245.000 ; 108.49517196484756000000 ; 108.16657652785289345000 ; 883.347 ; 1722.124 ; 883.347 ; 1268.717 ; 232,02400000000000090949 ; 218.73102000000000000000
