Design ; Data Path (ps) ;  Freq (MHz) ;  Cell Area ; Total Area ; Total Power(uW)
CLA ;1445 ; 692.04152249134948000000 ; 3737.334 ; 6428.834 ; 460,26100000000002410161
RCA ;1390 ; 719.42446043165467000000 ; 4869.670 ; 8950.429 ; 697,77599999999995361577
Kogge-Stone ;1390 ; 719.42446043165467000000 ; 4337.910 ; 7837.382 ; 506,22899999999998499334
Brent-Kung ;1390 ; 719.42446043165467000000 ; 4813.366 ; 7493.292 ; 539,58399999999994633981
Sklansky ;1390 ; 719.42446043165467000000 ; 4077.661 ; 6637.065 ; 465,76099999999996725819
Ladner-Fischer ;1390 ; 719.42446043165467000000 ; 3697.296 ; 6386.185 ; 442,72400000000004638423
Han-Carlson ;1390 ; 719.42446043165467000000 ; 3811.155 ; 6592.197 ; 455,99200000000001864464
Signal ;1390 ; 719.42446043165467000000 ; 2747.635 ; 5267.185 ; 415,29000000000002046363
CSkA8 ;1390 ; 719.42446043165467000000 ; 4869.670 ; 8950.429 ; 697,77599999999995361577
CIA ;1390 ; 719.42446043165467000000 ; 6397.386 ; 10552.719 ; 814,48599999999998999556
CSkA4 ;1390 ; 719.42446043165467000000 ; 4869.670 ; 8950.429 ; 697,77599999999995361577
CSLA8888 ;1390 ; 719.42446043165467000000 ; 2727.616 ; 4830.866 ; 422,27699999999998681233
CSLA56678 ;1390 ; 719.42446043165467000000 ; 2999.126 ; 5121.434 ; 478,11099999999998999556
CSLA66668 ;1390 ; 719.42446043165467000000 ; 2795.181 ; 4786.612 ; 429,01699999999999590727
