Design ; Data Path (ps) ;  Freq (MHz) ;  Cell Area ; Total Area ;  Total Power(uW)
CLA ;1525.000 ; 655.73770491803278688000 ; 3952.541 ; 5367.648 ; 425.43192000000000000000
RCA ;1526.000 ; 655.30799475753604193000 ; 5436.464 ; 6975.440 ; 744.44537000000000000000
Kogge-Stone ;1504.000 ; 664.89361702127659574000 ; 5083.626 ; 6200.947 ; 521.40388000000000000000
Brent-Kung ;1492.000 ; 670.24128686327077747000 ; 4684.493 ; 6906.624 ; 467.46651000000000000000
Sklansky ;1469.000 ; 680.73519400953029271000 ; 4718.275 ; 5850.611 ; 461.15218000000000000000
Ladner-Fischer ;1435.000 ; 696.86411149825783972000 ; 4371.693 ; 5301.334 ; 443.63658000000000000000
Han-Carlson ;1469.000 ; 680.73519400953029271000 ; 4478.045 ; 5472.749 ; 457.97919000000000000000
Signal ;1390.000 ; 719.42446043165467625000 ; 2802.688 ; 3942.531 ; 393.83424000000000000000
CSkA8 ;1526.000 ; 655.30799475753604193000 ; 5436.464 ; 6975.440 ; 744.44537000000000000000
CIA ;1537.000 ; 650.61808718282368249000 ; 6374.864 ; 9152.528 ; 768.03243000000000000000
CSkA4 ;1526.000 ; 655.30799475753604193000 ; 5436.464 ; 6975.440 ; 744.44537000000000000000
CSLA8888 ;1391.000 ; 718.90726096333572969000 ; 2818.954 ; 3908.749 ; 391.16161000000000000000
CSLA56678 ;1434.000 ; 697.35006973500697350000 ; 3116.739 ; 4290.365 ; 446.48425000000000000000
CSLA66668 ;1435.000 ; 696.86411149825783972000 ; 3195.565 ; 4000.086 ; 431.96762000000000000000
