Design ; Data Path (ps) ;  Freq (MHz) ;  Cell Area ; Total Area ; Total Power(uW)
CLA ;13497 ; 74.09053863821589000000 ; 640.614 ; 1078.407 ; 203,67500000000001136868
RCA ;13497 ; 74.09053863821589000000 ; 640.614 ; 1078.407 ; 203,67500000000001136868
Kogge-Stone ;8566 ; 116.74060238150828000000 ; 1049.757 ; 1931.782 ; 225,09999999999999431566
Brent-Kung ;13497 ; 74.09053863821589000000 ; 640.614 ; 1078.407 ; 203,67500000000001136868
Sklansky ;5049 ; 198.05902158843335000000 ; 1238.688 ; 2278.566 ; 235,34299999999998931344
Ladner-Fischer ;3868 ; 258.53154084798345000000 ; 1222.422 ; 2298.152 ; 236,62899999999999067768
Han-Carlson ;10700 ; 93.45794392523364000000 ; 839.555 ; 1511.429 ; 217,42900000000000204636
Signal ;10004 ; 99.96001599360255000000 ; 823.290 ; 1566.345 ; 227,43399999999999749889
CSkA8 ;13497 ; 74.09053863821589000000 ; 640.614 ; 1078.407 ; 203,67500000000001136868
CIA ;9792 ; 102.12418300653594000000 ; 1043.501 ; 1777.332 ; 202,17999999999997839950
CSkA4 ;13497 ; 74.09053863821589000000 ; 640.614 ; 1078.407 ; 203,67500000000001136868
CSLA8888 ;8779 ; 113.90818999886091000000 ; 1058.515 ; 1981.091 ; 267,74299999999999499778
CSLA56678 ;9147 ; 109.32546190007652000000 ; 1068.525 ; 1993.015 ; 260,88700000000000045475
CSLA66668 ;12701 ; 78.73395795606645000000 ; 1194.896 ; 2221.547 ; 241,75100000000000477485
