Design ; Data Path (ps) ;  Freq (MHz) ;  Cell Area ; Total Area ;  Total Power(uW)
CLA ;13610.000 ; 73.47538574577516531000 ; 640.614 ; 922.134 ; 191.05782000000000000000
RCA ;13610.000 ; 73.47538574577516531000 ; 640.614 ; 922.134 ; 191.07670000000000000000
Kogge-Stone ;8591.000 ; 116.40088464672331509000 ; 1049.757 ; 1506.445 ; 215.53353000000000000000
Brent-Kung ;13606.000 ; 73.49698662354843451000 ; 640.614 ; 922.134 ; 191.09551000000000000000
Sklansky ;5091.000 ; 196.42506383814574739000 ; 1238.688 ; 1782.960 ; 217.35646000000000000000
Ladner-Fischer ;3954.000 ; 252.90844714213454729000 ; 1222.422 ; 1764.192 ; 227.76439000000000000000
Han-Carlson ;10818.000 ; 92.43852837862821223000 ; 839.555 ; 1201.152 ; 207.24861000000000000000
Signal ;10033.000 ; 99.67108541812020332000 ; 823.290 ; 1186.138 ; 213.87214000000000000000
CSkA8 ;13610.000 ; 73.47538574577516531000 ; 640.614 ; 922.134 ; 191.07670000000000000000
CIA ;9807.000 ; 101.96798205363515856000 ; 1043.501 ; 1506.445 ; 190.41080000000000000000
CSkA4 ;13610.000 ; 73.47538574577516531000 ; 640.614 ; 922.134 ; 191.07670000000000000000
CSLA8888 ;8935.000 ; 111.91941801902630106000 ; 1058.515 ; 1523.962 ; 254.95258000000000000000
CSLA56678 ;9330.000 ; 107.18113612004287245000 ; 1068.525 ; 1541.478 ; 247.65030000000000000000
CSLA66668 ;12955.000 ; 77.19027402547279042000 ; 1194.896 ; 1707.888 ; 227.84446000000000000000
