 ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; Innovus ; ; Genus ; Innovus 
Design ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ;  Cell Area ; Total Area ; Cell Area ; Total Area ; Total Power(uW); Total Power(uW)
CLA ;13497 ; 13610.000 ; 74.09053863821589000000 ; 73.47538574577516531000 ; 640.614 ; 1078.407 ; 640.614 ; 922.134 ; 203,67500000000001136868 ; 191.05782000000000000000
RCA ;13497 ; 13610.000 ; 74.09053863821589000000 ; 73.47538574577516531000 ; 640.614 ; 1078.407 ; 640.614 ; 922.134 ; 203,67500000000001136868 ; 191.07670000000000000000
Kogge-Stone ;8566 ; 8591.000 ; 116.74060238150828000000 ; 116.40088464672331509000 ; 1049.757 ; 1931.782 ; 1049.757 ; 1506.445 ; 225,09999999999999431566 ; 215.53353000000000000000
Brent-Kung ;13497 ; 13606.000 ; 74.09053863821589000000 ; 73.49698662354843451000 ; 640.614 ; 1078.407 ; 640.614 ; 922.134 ; 203,67500000000001136868 ; 191.09551000000000000000
Sklansky ;5049 ; 5091.000 ; 198.05902158843335000000 ; 196.42506383814574739000 ; 1238.688 ; 2278.566 ; 1238.688 ; 1782.960 ; 235,34299999999998931344 ; 217.35646000000000000000
Ladner-Fischer ;3868 ; 3954.000 ; 258.53154084798345000000 ; 252.90844714213454729000 ; 1222.422 ; 2298.152 ; 1222.422 ; 1764.192 ; 236,62899999999999067768 ; 227.76439000000000000000
Han-Carlson ;10700 ; 10818.000 ; 93.45794392523364000000 ; 92.43852837862821223000 ; 839.555 ; 1511.429 ; 839.555 ; 1201.152 ; 217,42900000000000204636 ; 207.24861000000000000000
Signal ;10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 823.290 ; 1566.345 ; 823.290 ; 1186.138 ; 227,43399999999999749889 ; 213.87214000000000000000
CSkA8 ;13497 ; 13610.000 ; 74.09053863821589000000 ; 73.47538574577516531000 ; 640.614 ; 1078.407 ; 640.614 ; 922.134 ; 203,67500000000001136868 ; 191.07670000000000000000
CIA ;9792 ; 9807.000 ; 102.12418300653594000000 ; 101.96798205363515856000 ; 1043.501 ; 1777.332 ; 1043.501 ; 1506.445 ; 202,17999999999997839950 ; 190.41080000000000000000
CSkA4 ;13497 ; 13610.000 ; 74.09053863821589000000 ; 73.47538574577516531000 ; 640.614 ; 1078.407 ; 640.614 ; 922.134 ; 203,67500000000001136868 ; 191.07670000000000000000
CSLA8888 ;8779 ; 8935.000 ; 113.90818999886091000000 ; 111.91941801902630106000 ; 1058.515 ; 1981.091 ; 1058.515 ; 1523.962 ; 267,74299999999999499778 ; 254.95258000000000000000
CSLA56678 ;9147 ; 9330.000 ; 109.32546190007652000000 ; 107.18113612004287245000 ; 1068.525 ; 1993.015 ; 1068.525 ; 1541.478 ; 260,88700000000000045475 ; 247.65030000000000000000
CSLA66668 ;12701 ; 12955.000 ; 78.73395795606645000000 ; 77.19027402547279042000 ; 1194.896 ; 2221.547 ; 1194.896 ; 1707.888 ; 241,75100000000000477485 ; 227.84446000000000000000
